"name","springdist","distprev","elevation","elevationdiff","amenities","links"
" US 340, Shenandoah River Bridge ","0.10125E4","0.7E0","0.312E3","-0.508E3"," L,C*,Cl*,Sh* ","<a href=""http://picasaweb.google.com/lh/photo/fsOATab4dOZcE1l0IYCvoA"">US 340, Shenandoah River Bridge</a>"
" ATC Headquarters side trail ","0.10128E4","0.3E0","0.394E3","0.82E2"," R,L*,C*,G*,Cl*,Sh* ","<a href=""http://www.flickr.com/photos/throwingbull/3759511197/"">ATC Headquarters</a>"
" Harpers Ferry ","0.10134E4","0.6E0","0.315E3","-0.79E2"," R,O ","<a href=""http://www.nps.gov/hafe/index.htm"">Harpers Ferry</a>"
" Potomac River, WV-MD State Line ","0.10135E4","0.1E0","0.263E3","-0.52E2"," None ","<a href=""http://www.summitpost.org/image/47932/152472/panorama-of-harpers-ferry.html"">Potomac River</a>"
" C&O Canal Towpath west jct. ","0.10137E4","0.2E0","0.29E3","0.27E2"," None ","<a href=""http://canal.mcmullans.org/"">C&amp;O Canal Towpath</a>"
" Sandy Hook Bridge, US 340 ","0.10148E4","0.11E1","0.29E3","0.0"," None ",""
" C&O Canal Towpath east jct. ","0.10163E4","0.15E1","0.29E3","0.0"," G ","<a href=""http://canal.mcmullans.org/"">C&amp;O Canal Towpath</a>"
" Keep Tryst Rd. ","0.10164E4","0.1E0","0.32E3","0.3E2"," L*,R*,G*,Cl*,Sh* ",""
" US 340 Underpass ","0.10166E4","0.2E0","0.4E3","0.8E2"," None ",""
" Weverton Rd. ","0.10168E4","0.2E0","0.42E3","0.2E2"," G* ",""
" Weverton Cliffs Trail ","0.10177E4","0.9E0","0.78E3","0.36E3"," None ","<a href=""http://www.panoramio.com/photo/4767987"">Weverton Cliffs</a>"
" Ed Garvey Shelter (pic) ","0.10198E4","0.21E1","0.11E4","0.32E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=EdGarvey"">Ed Garvey Shelter</a><a href=""http://picasaweb.google.com/lh/photo/eQvwbHM8v2lhrlBuAvD0PQ"">pic</a>"
" Brownsville Gap ","0.10218E4","0.2E1","0.114E4","0.4E2"," None ",""
" Gathland State Park ","0.10235E4","0.17E1","0.95E3","-0.19E3"," C,W,G ","<a href=""http://www.dnr.state.md.us/publiclands/western/gathland.html"">Gathland State Park</a>"
" Crampton Gap Shelter (pic) ","0.10239E4","0.4E0","0.1E4","0.5E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=CramptonG"">Crampton Gap Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=396049&amp;context_id=383841"">pic</a>"
" Bear Spring Cabin side trail ","0.10265E4","0.26E1","0.148E4","0.48E3"," W ","<a href=""http://potomacappalachian.org/images/stories/cabins/cab_bear-spring1.jpg"">Bear Spring Cabin</a>"
" White Rocks Cliff ","0.10271E4","0.6E0","0.15E4","0.2E2"," None ",""
" Lamb’s Knoll ","0.10273E4","0.2E0","0.16E4","0.1E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/419427/lambs-knoll.html"">Lamb’s Knoll</a>"
" Rocky Run Shelter (pic) ","0.10289E4","0.16E1","0.97E3","-0.63E3"," S,C,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=RockyRun"">Rocky Run Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=396055&amp;context_id=383841"">pic</a>"
" Reno Monument Rd. ","0.10299E4","0.1E1","0.91E3","-0.6E2"," None ",""
" Dahlgren Backpack Campground ","0.10307E4","0.8E0","0.98E3","0.7E2"," C,R,Sh ","<a href=""http://www.flickr.com/photos/revengingangel/3620594992/"">Dahlgren Backpack Campground</a>"
" Turners Gap, US Alt. 40 ","0.10309E4","0.2E0","0.1E4","0.2E2"," R ","<a href=""http://www.flickr.com/photos/marklarson/662293816/in/set-72157600553114109/"">Turners Gap</a>"
" Monument Rd. ","0.10323E4","0.14E1","0.135E4","0.35E3"," None ",""
" Washington Monument Rd. ","0.10325E4","0.2E0","0.14E4","0.5E2"," W ",""
" Washington Monument ","0.10329E4","0.4E0","0.155E4","0.15E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/352045/monument-knob.html"">Washington Monument</a>"
" Boonsboro Mt. Rd. ","0.1035E4","0.21E1","0.13E4","-0.25E3"," None ",""
" Bartman Hill Trail to Greenbrier SP ","0.10353E4","0.3E0","0.0","-0.13E4"," C* ","<a href=""http://www.dnr.state.md.us/publiclands/western/greenbrier.html"">Greenbrier SP</a>"
" I-70 Footbridge ","0.10358E4","0.5E0","0.12E4","0.12E4"," R,W,C* ","<a href=""http://picasaweb.google.com/lh/photo/h28Wg5BxSGEpDtNvSXC6mw"">I-70 Footbridge</a>"
" Pine Knob Shelter (pic) ","0.10364E4","0.6E0","0.136E4","0.16E3"," None ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=PineKnob"">Pine Knob Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=307513&amp;context_id=383841"">pic</a>"
" Annapolis Rocks side trail ","0.1038E4","0.16E1","0.182E4","0.46E3"," C,W ","<a href=""http://www.summitpost.org/mountain/rock/307793/annapolis-rocks.html"">Annapolis Rocks</a>"
" Black Rocks ","0.1039E4","0.1E1","0.18E4","-0.2E2"," None ","<a href=""http://www.summitpost.org/mountain/rock/307504/black-rocks.html"">Black Rocks</a>"
" Pogo Memorial Campsite ","0.10396E4","0.6E0","0.15E4","-0.3E3"," C,W ","<a href=""http://outdoors.webshots.com/photo/1080194670034774323wrlCPs"">Pogo Memorial Campsite</a>"
" MD 17 (Wolfsville Rd.) ","0.10444E4","0.48E1","0.14E4","-0.1E3"," L,R,Cl,Sh,G* ",""
" Ensign Cowall Shelter (pic) ","0.10446E4","0.2E0","0.143E4","0.3E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=EnsignCow"">Ensign Cowall Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=383853&amp;context_id=383841"">pic</a>"
" MD 77 (Foxville Rd.) ","0.10459E4","0.13E1","0.145E4","0.2E2"," None ",""
" Warner Gap Rd. ","0.10477E4","0.18E1","0.115E4","-0.3E3"," W ",""
" MD 491, Raven Rock Hollow ","0.10485E4","0.8E0","0.119E4","0.4E2"," None ",""
" Raven Rock ","0.10495E4","0.1E1","0.13E4","0.11E3"," S,C,W ","<a href=""http://www.summitpost.org/mountain/rock/307692/raven-rock.html"">Raven Rock</a>"
" High Rock side trail ","0.10513E4","0.18E1","0.195E4","0.65E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/307669/high-rock.html"">High Rock</a>"
" Pen Mar County Park ","0.10542E4","0.29E1","0.133E4","-0.62E3"," W,L*,G*,Cl* ",""
" Mason-Dixon Line (MD-PA State Line) ","0.10544E4","0.2E0","0.125E4","-0.8E2"," None ","<a href=""http://outdoors.webshots.com/photo/1054475943038317822bfPkoS"">Mason-Dixon Line (MD-PA State Line)</a>"
" Pen Mar Rd. ","0.10544E4","0.0","0.125E4","0.0"," None ",""
" Buena Vista Rd. ","0.10555E4","0.11E1","0.129E4","0.4E2"," W ",""
" Old PA 16 ","0.10567E4","0.12E1","0.135E4","0.6E2"," None ",""
" PA 16 ","0.1057E4","0.3E0","0.12E4","-0.15E3"," R*,G*,Cl* ",""
" Mackie Run ","0.10572E4","0.2E0","0.125E4","0.5E2"," None ",""
" Bailey Spring ","0.10578E4","0.6E0","0.13E4","0.5E2"," W ",""
" Deer Lick Shelters (pic) ","0.10591E4","0.13E1","0.142E4","0.12E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=DeerLick"">Deer Lick Shelters</a><a href=""http://outdoors.webshots.com/photo/1071277790034774323OapgpI"">pic</a>"
" Old Forge Park, Antietam Shelter (pic) ","0.10615E4","0.24E1","0.89E3","-0.53E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Antietam"">Antietam Shelter</a><a href=""http://www.panoramio.com/photo/20664744"">pic</a>"
" Rattlesnake Run Rd. ","0.10619E4","0.4E0","0.9E3","0.1E2"," None ",""
" Old Forge Rd. ","0.10625E4","0.6E0","0.1E4","0.1E3"," None ",""
" Tumbling Run Shelters (pic) ","0.10627E4","0.2E0","0.112E4","0.12E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=TumblingR"">Tumbling Run Shelters</a><a href=""http://commons.wikimedia.org/wiki/File:Tumbling_Run_Shelters.jpg"">pic</a>"
" Chimney Rocks ","0.1064E4","0.13E1","0.19E4","0.78E3"," None ","<a href=""http://www.cnyhiking.com/ATinPA-ChimneyRocks042009.jpg"">Chimney Rocks</a>"
" Swamp Rd. ","0.10673E4","0.33E1","0.156E4","-0.34E3"," None ",""
" PA 233, South Mt, PA ","0.10676E4","0.3E0","0.16E4","0.4E2"," L*,R* ",""
" Rocky Mt. Shelters (pic) ","0.10693E4","0.17E1","0.152E4","-0.8E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=RockyMtn"">Rocky Mt. Shelters</a><a href=""http://gallery.backcountry.net/albums/papabear_2003_HF_Duncannon/acp.sized.jpg"">pic</a>"
" Caledonia State Park ","0.10723E4","0.3E1","0.96E3","-0.56E3"," C,R,Sh,G* ","<a href=""http://www.dcnr.state.pa.us/stateparks/parks/caledonia.aspx"">Caledonia State Park</a>"
" Quarry Gap Rd. ","0.10742E4","0.19E1","0.125E4","0.29E3"," None ",""
" Quarry Gap Shelters (pic) ","0.10749E4","0.7E0","0.1455E4","0.205E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=QuarryGap"">Quarry Gap Shelters</a><a href=""http://www.swarpa.net/~danforth/photos/mar03/quarrygapshelters.jpg"">pic</a>"
" Sandy Sod Jct. ","0.10764E4","0.15E1","0.198E4","0.525E3"," None ",""
" Middle Ridge Rd. ","0.1079E4","0.26E1","0.205E4","0.7E2"," None ",""
" Ridge/Means Hollow Rd. ","0.10795E4","0.5E0","0.18E4","-0.25E3"," None ",""
" Milesburn Rd. ","0.10799E4","0.4E0","0.16E4","-0.2E3"," W ",""
" Birch Run Shelter (pic) ","0.10823E4","0.24E1","0.1795E4","0.195E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BirchRun"">Birch Run Shelter</a><a href=""http://commons.wikimedia.org/wiki/File:Birch_Run_Shelter.jpg"">pic</a>"
" Big Flat Fire Tower ","0.10836E4","0.13E1","0.204E4","0.245E3"," None ",""
" Michener Cabin ","0.10855E4","0.19E1","0.185E4","-0.19E3"," W ","<a href=""http://www.flickr.com/photos/23668125@N08/3321209866"">Michener Cabin</a>"
" Woodrow Rd. ","0.10874E4","0.19E1","0.185E4","0.0"," None ",""
" Toms Run Shelters (pic) ","0.10885E4","0.11E1","0.13E4","-0.55E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=TomsRun"">Toms Run Shelters</a><a href=""http://commons.wikimedia.org/wiki/File:Tom%27s_Run_Shelters.jpg"">pic</a>"
" PA 233 ","0.10919E4","0.34E1","0.9E3","-0.4E3"," None ",""
" Pine Grove Furnace State Park ","0.10922E4","0.3E0","0.85E3","-0.5E2"," L,C,G,Sh ","<a href=""http://www.dcnr.state.pa.us/stateparks/parks/PineGroveFurnace.aspx"">Pine Grove Furnace State Park</a>"
" Midpoint Marker ","0.10932E4","0.1E1","0.1E4","0.15E3"," None ","<a href=""http://www.summitpost.org/image/81572/172561/at-midpoint-sign-at-pole-steeple.html"">Midpoint Marker</a>"
" Pole Steeple side trail ","0.10947E4","0.15E1","0.13E4","0.3E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/153439/pole-steeple.html"">Pole Steeple</a>"
" Mt. Creek Campground side trail ","0.10982E4","0.35E1","0.105E4","-0.25E3"," C,G ",""
" James Fry (Tagg Run) Shelter ","0.10994E4","0.12E1","0.805E3","-0.245E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=JamesFry"">James Fry (Tagg Run) Shelter</a>"
" Pine Grove Rd. ","0.10999E4","0.5E0","0.75E3","-0.55E2"," None ",""
" PA 34 (Hunters Run Rd.) ","0.11008E4","0.9E0","0.67E3","-0.8E2"," G ",""
" PA 94 ","0.11028E4","0.2E1","0.88E3","0.21E3"," None ",""
" Whiskey Spring ","0.11056E4","0.28E1","0.83E3","-0.5E2"," W ",""
" Alec Kennedy Shelter (pic) ","0.11077E4","0.21E1","0.85E3","0.2E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=AlecKenne"">Alec Kennedy Shelter</a><a href=""http://commons.wikimedia.org/wiki/File:Alec_Kennedy_Shelter.jpg"">pic</a>"
" Cedar Point Knob ","0.11086E4","0.9E0","0.106E4","0.21E3"," None ",""
" Yellow Breeches Creek ","0.11113E4","0.27E1","0.5E3","-0.56E3"," C ",""
" ATC Mid-Atlantic Office, PA 174 ","0.11116E4","0.3E0","0.5E3","0.0"," L,R,G,Sh ","<a href=""http://www.appalachiantrail.org/site/c.mqLTIYOwGlF/b.4805859/k.BFA3/Home.htm"">ATC Mid-Atlantic Office</a>"
" PA 74 ","0.11136E4","0.2E1","0.58E3","0.8E2"," None ",""
" PA 641 (Trindle Rd.) ","0.11157E4","0.21E1","0.54E3","-0.4E2"," None ",""
" Pennsylvania Turnpike ","0.11184E4","0.27E1","0.495E3","-0.45E2"," None ","<a href=""http://www.flickr.com/photos/bltadventure/3083433704/"">Pennsylvania Turnpike</a>"
" US 11 Footbridge ","0.11196E4","0.12E1","0.49E3","-0.5E1"," L,R,Sh ",""
" I-81 Overpass ","0.11205E4","0.9E0","0.485E3","-0.5E1"," None ",""
" ATC Scott Farm Trail Work Center ","0.11219E4","0.14E1","0.48E3","-0.5E1"," W ",""
" PA 944 ","0.11239E4","0.2E1","0.48E3","0.0"," None ",""
" spring ","0.11249E4","0.1E1","0.65E3","0.17E3"," W ",""
" Tuscarora/Darlington Trails ","0.11258E4","0.9E0","0.139E4","0.74E3"," None ",""
" Darlington Shelter (pic) ","0.11259E4","0.1E0","0.117E4","-0.22E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Darlington"">Darlington Shelter</a><a href=""http://farm1.static.flickr.com/26/61014660_ac16ecd5bd.jpg"">pic</a>"
" PA 850 ","0.11282E4","0.23E1","0.65E3","-0.52E3"," None ",""
" Thelma Marks Shelter (pic) ","0.11332E4","0.5E1","0.112E4","0.47E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=ThelmaM"">Thelma Marks Shelter</a><a href=""http://www.flickr.com/photos/64348775@N00/37789233"">pic</a>"
" Hawk Rock ","0.11351E4","0.19E1","0.114E4","0.2E2"," None ","<a href=""http://www.summitpost.org/mountain/rock/153417/cove-mountain-hawk-rocks.html"">Hawk Rock</a>"
" US 11/15, PA 274 ","0.11368E4","0.17E1","0.385E3","-0.755E3"," G,L* ",""
" Duncannon, PA ","0.11373E4","0.5E0","0.385E3","0.0"," L,R,G,Cl ",""
" PA 849, Juniata River ","0.11383E4","0.1E1","0.38E3","-0.5E1"," C,Sh ",""
" Susquehanna River ","0.11385E4","0.2E0","0.38E3","0.0"," R ","<a href=""http://www.summitpost.org/image/87376/153417/sunrise-over-the-susquehanna.html"">Susquehanna River</a>"
" US 22/322 ","0.11391E4","0.6E0","0.4E3","0.2E2"," L ",""
" Clarks Ferry Shelter (pic) ","0.11418E4","0.27E1","0.118E4","0.78E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=ClarksFer"">Clarks Ferry Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=37144&amp;context_id=383841"">pic</a>"
" PA 225 Footbridge ","0.11457E4","0.39E1","0.125E4","0.7E2"," None ",""
" Table Rock View ","0.11477E4","0.2E1","0.12E4","-0.5E2"," None ","<a href=""http://www.summitpost.org/mountain/rock/153642/table-rock.html"">Table Rock</a>"
" Peters Mt. Shelter (pic) ","0.11486E4","0.9E0","0.97E3","-0.23E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=PetersMtn"">Peters Mt. Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=37146&amp;context_id=383841"">pic</a>"
" Kinter View ","0.11512E4","0.26E1","0.132E4","0.35E3"," None ",""
" spring ","0.11547E4","0.35E1","0.7E3","-0.62E3"," W ",""
" PA 325, Clark’s Valley ","0.11551E4","0.4E0","0.55E3","-0.15E3"," W ",""
" Stony Mt. ","0.11581E4","0.3E1","0.165E4","0.11E4"," None ","<a href=""http://www.summitpost.org/mountain/rock/155295/stony-mountain.html"">Stony Mt.</a>"
" Yellow Springs Village Site ","0.11615E4","0.34E1","0.145E4","-0.2E3"," None ",""
" Cold Spring Trail ","0.11638E4","0.23E1","0.14E4","-0.5E2"," None ",""
" Raush Gap Shelter (pic) ","0.11661E4","0.23E1","0.97E3","-0.43E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=RauschGap"">Raush Gap Shelter</a><a href=""http://picasaweb.google.com/lh/photo/IEUrHo3bT76qkQD7_WwiEA"">pic</a>"
" PA 443 ","0.11707E4","0.46E1","0.55E3","-0.42E3"," None ",""
" Swatara Gap, PA 72 ","0.11721E4","0.14E1","0.48E3","-0.7E2"," None ","<a href=""http://outdoors.webshots.com/photo/1111501564053263599YYRbHt"">Swatara Gap</a>"
" I-81 Underpass","0.11725E4","0.4E0","0.45E3","-0.3E2"," None ",""
" William Penn Shelter (pic) ","0.11794E4","0.69E1","0.13E4","0.85E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WilliamPe"">William Penn Shelter</a><a href=""http://outdoors.webshots.com/photo/1067481382034183661tYUCOv"">pic</a>"
" PA 645 ","0.11816E4","0.22E1","0.125E4","-0.5E2"," None ",""
" 501 Shelter (pic) ","0.11835E4","0.19E1","0.146E4","0.21E3"," S,W,L ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=501Shltr"">501 Shelter</a><a href=""http://outdoors.webshots.com/photo/1156691205050712321XjAMER"">pic</a>"
" Pilger Ruh Spring Trail ","0.1184E4","0.5E0","0.145E4","-0.1E2"," C,W ",""
" Round Head, Shower Steps ","0.11866E4","0.26E1","0.15E4","0.5E2"," W ","<a href=""http://www.panoramio.com/photo/2237461"">Round Head</a>"
" Hertlein Campsite","0.11891E4","0.25E1","0.12E4","-0.3E3"," C,W ",""
" Shuberts Gap ","0.11892E4","0.1E0","0.12E4","0.0"," None ","<a http:>Shuberts Gap</a>"
" Ft. Dietrich Snyder Marker ","0.11925E4","0.33E1","0.144E4","0.24E3"," W ","<a href=""http://www.panoramio.com/photo/21790570"">Ft. Dietrich Snyder Marker</a>"
" PA 183, Rentschler Marker ","0.11928E4","0.3E0","0.145E4","0.1E2"," None ",""
" Black Swatara Spring ","0.11941E4","0.13E1","0.151E4","0.6E2"," W ","<a href=""http://picasaweb.google.com/lh/photo/jGH9XhEsL7PWpl43_nBtGw"">Black Swatara Spring</a>"
" Sand Spring Trail ","0.11979E4","0.38E1","0.151E4","0.0"," W ",""
" Eagle’s Nest Shelter (pic) ","0.11986E4","0.7E0","0.151E4","0.0"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=EaglesNes"">Eagle’s Nest Shelter</a><a href=""http://outdoors.webshots.com/photo/1156692216050712321SUTnfA"">pic</a>"
" Shartlesville Cross-Mt. Rd. ","0.12005E4","0.19E1","0.145E4","-0.6E2"," None ",""
" Phillip’s Canyon Spring ","0.12032E4","0.27E1","0.15E4","0.5E2"," W ",""
" Port Clinton ","0.12072E4","0.4E1","0.4E3","-0.11E4"," S,C,L,R,O,Sh ",""
" PA 61, Hamburg ","0.12079E4","0.7E0","0.49E3","0.9E2"," L*,R,*,O* ",""
" Pocahontas Spring ","0.12105E4","0.26E1","0.12E4","0.71E3"," W ",""
" Windsor Furnace ","0.12131E4","0.26E1","0.9E3","-0.3E3"," C,W ","<a href=""http://picasaweb.google.com/lh/photo/_-aajOAHYR2QohZb4qGmEQ"">Windsor Furnace</a>"
" Windsor Furnace Shelter (pic) ","0.12133E4","0.2E0","0.88E3","-0.2E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WindsorFu"">Windsor Furnace Shelter</a><a href=""http://picasaweb.google.com/lh/photo/Lry_iyow8J0F-JUxv1Tf_g"">pic</a>"
" Pulpit Rock ","0.12149E4","0.16E1","0.1582E4","0.702E3"," None ","<a href=""http://www.summitpost.org/image/138203/167732/the-lehigh-valley-from-atop.html"">Pulpit Rock</a>"
" Blue Rocks Campground side trail ","0.12167E4","0.18E1","0.115E4","-0.432E3"," S*,C*G*,Cl*,Sh* ","<a href=""http://www.bluerockscampground.com/"">Blue Rocks Campground</a>"
" The Pinnacle ","0.12171E4","0.4E0","0.1615E4","0.465E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/152545/the-pinnacle.html"">The Pinnacle</a>"
" Eckville Shelter (pic) ","0.12224E4","0.53E1","0.535E3","-0.108E4"," S,W,Sh ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Eckville"">Eckville Shelter</a><a href=""http://picasaweb.google.com/lh/photo/ZENk5KQYJKxjaVa4-AVD9Q"">pic</a>"
" Tri-County Corner ","0.12285E4","0.61E1","0.156E4","0.1025E4"," None ","<a href=""http://rohland.homedns.org/at/FlatStanley/Pennsylvania/AT4_JacksonvilleToEckvilleG_07.jpg"">Tri-County Corner</a>"
" Allentown Hiking Club Shelter ","0.12298E4","0.13E1","0.135E4","-0.21E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Allentown"">Allentown Hiking Club Shelter</a>"
" Ft. Franklin Rd. ","0.12317E4","0.19E1","0.135E4","0.0"," None ",""
" Blue Mt. Summit ","0.12339E4","0.22E1","0.136E4","0.1E2"," L,R,W ","<a href=""http://www.summitpost.org/mountain/rock/513991/blue-mountain.html"">Blue Mt.</a>"
" New Tripoli Campsite ","0.12357E4","0.18E1","0.14E4","0.4E2"," C,W ",""
" The Cliffs, Knife Edge ","0.12367E4","0.1E1","0.1525E4","0.125E3"," None ","<a href=""http://outdoors.webshots.com/photo/1379353784053232647gycjOA"">Knife Edge</a>"
" Bear Rocks ","0.12374E4","0.7E0","0.1604E4","0.79E2"," None ","<a href=""http://pa.audubon.org/kittatinny/images/gallery/Bear-Rocks---Schuylkill-Cou.jpg"">Bear Rocks</a>"
" Bake Oven Knob Rd. ","0.12388E4","0.14E1","0.145E4","-0.154E3"," None ",""
" Bake Oven Knob ","0.12392E4","0.4E0","0.1585E4","0.135E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/605144/bake-oven-knob.html"">Bake Oven Knob</a>"
" Bake Oven Knob Shelter (pic) ","0.12398E4","0.6E0","0.138E4","-0.205E3"," S,W ","<a href=""http://www.flickr.com/photos/barrywen2004/624838131/"">Bake Oven Knob Shelter</a><a href=""http://picasaweb.google.com/lh/photo/YpVzKVGgNR-2Bz2_lqzdjw"">pic</a>"
" Lehigh Furnace Gap, PA 873 ","0.12422E4","0.24E1","0.132E4","-0.6E2"," W* ","<a href=""http://www.flickr.com/photos/barrywen2004/624838131/"">Lehigh Furnace Gap</a>"
" George W. Outerbridge Shelter (pic) ","0.12466E4","0.44E1","0.1E4","-0.32E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=GeorgeW"">George W. Outerbridge Shelter</a><a href=""http://farm4.static.flickr.com/3058/3064664782_4c203eb124.jpg?v=1227842242"">pic</a>"
" Lehigh Gap, PA 873, Slatington ","0.12472E4","0.6E0","0.38E3","-0.62E3"," L*,R*,G*,Cl*,Sh* ","<a href=""http://picasaweb.google.com/jnolan8/PortClintonPAToRutlandVT#5089265754474257442"">Lehigh Gap</a>"
" Lehigh River Bridge, PA 873 ","0.12473E4","0.1E0","0.38E3","0.0"," None ","<a href=""http://outdoors.webshots.com/photo/1363096967053232647fZXemT"">Lehigh River Bridge, PA 873</a>"
" PA 145, Walnutport ","0.12475E4","0.2E0","0.38E3","0.0"," R*,G* ",""
" Little Gap, Danielsville ","0.12526E4","0.51E1","0.11E4","0.72E3"," W*,C*,R*,G*,Sh* ","<a href=""http://picasaweb.google.com/lh/photo/UKItdDvWwYoBvAVdXnm06Q"">Little Gap</a>"
" Delps Trail ","0.12574E4","0.48E1","0.158E4","0.48E3"," W ",""
" Stempa Spring ","0.12592E4","0.18E1","0.151E4","-0.7E2"," W* ",""
" Smith Gap Rd. ","0.12599E4","0.7E0","0.154E4","0.3E2"," W*,Sh* ",""
" Leroy A. Smith Shelter (pic) ","0.12634E4","0.35E1","0.141E4","-0.13E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=LeroyAS"">Leroy A. Smith Shelter</a><a href=""http://picasaweb.google.com/lh/photo/E9t6AmL4n1CHiICc8CCilw"">pic</a>"
" Hahns Lookout ","0.1267E4","0.36E1","0.145E4","0.4E2"," None ","<a href=""http://media.photobucket.com/image/Hahns%20Lookout/sneezehorse/hike211%204-2-6/007.jpg"">Hahns Lookout</a>"
" Wind Gap, PA 33 ","0.1268E4","0.1E1","0.98E3","-0.47E3"," W,L*,R*,G*,Cl* ","<a href=""http://www.mtnlion.org/web_images/at2_195.jpg"">Wind Gap</a>"
" Wolf Rocks ","0.1275E4","0.7E1","0.155E4","0.57E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/241413/wolf-rocks.html"">Wolf Rocks</a>"
" Fox Gap, PA 191 ","0.12766E4","0.16E1","0.14E4","-0.15E3"," None ",""
" Kirkridge Shelter (pic) ","0.12772E4","0.6E0","0.148E4","0.8E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Kirkridge"">Kirkridge Shelter</a><a href=""http://www.summitpost.org/view_object.php?object_id=186597&amp;context_id=383841"">pic</a>"
" Totts Gap ","0.12791E4","0.19E1","0.13E4","-0.18E3"," None ","<a href=""http://www.flickr.com/photos/nicholas_t/251877841/"">Totts Gap</a>"
" Mt. Minsi ","0.12811E4","0.2E1","0.1461E4","0.161E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/152932/delaware-water-gap-mt-minsi.html"">Mt. Minsi</a>"
" Lookout Rock ","0.12821E4","0.1E1","0.8E3","-0.661E3"," None ","<a href=""http://www.panoramio.com/photo/864475"">Lookout Rock</a>"
" Council Rock ","0.12829E4","0.8E0","0.6E3","-0.2E3"," None ","<a href=""http://purebound.com/AT/pennsylvania/billy_at_council_rock.jpg"">Council Rock</a>"
" PA 611, Delaware Water Gap ","0.12836E4","0.7E0","0.4E3","-0.2E3"," L,R,G,O ",""
" Delaware River, PA-NJ State Line ","0.12838E4","0.2E0","0.35E3","-0.5E2"," None ","<a href=""http://purebound.com/AT/new_jersey_new_york/interstate_80_bridge.jpg"">Delaware River, PA-NJ State Line</a>"
" Delaware Water Gap NRA Visitors Center ","0.12847E4","0.9E0","0.35E3","0.0"," W ","<a href=""http://www.nps.gov/DEWA/index.htm"">Delaware Water Gap NRA</a>"
" Holly Springs Trail ","0.12867E4","0.2E1","0.95E3","0.6E3"," W ",""
" backpacker campsite ","0.12883E4","0.16E1","0.13E4","0.35E3"," C ",""
" Sunfish Pond ","0.12896E4","0.13E1","0.1382E4","0.82E2"," None ","<a href=""http://en.wikipedia.org/wiki/File:SunfishPond.jpg"">Sunfish Pond</a>"
" spring ","0.12897E4","0.1E0","0.14E4","0.18E2"," W ",""
" Herbert Hillar Plaque ","0.12914E4","0.17E1","0.14E4","0.0"," None ",""
